wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time
1.88,2,0.0200,0.0200,0.021,4.754,1.1,0.0167,0.1667,1.00,400,0,0.02
2.91,22,0.0237,0.1667,0.179,0.363,10.6,0.0167,0.1667,1.00,400,0,0.54
3.92,192,0.0052,0.0110,0.257,0.257,15.3,0.0167,0.1667,1.00,400,0,1.55
4.92,134,0.0075,0.0752,0.204,0.204,12.4,0.0167,0.1667,1.00,400,0,2.55
5.93,120,0.0084,0.0614,0.170,0.170,10.1,0.0167,0.1667,1.00,400,0,3.56
6.93,125,0.0081,0.0609,0.145,0.145,8.7,0.0167,0.1667,1.00,400,0,4.56
7.94,181,0.0055,0.0085,0.126,0.126,7.7,0.0167,0.1667,1.00,400,0,5.57
8.94,180,0.0056,0.0093,0.112,0.112,6.7,0.0167,0.1667,1.00,400,0,6.57
9.97,126,0.0082,0.0736,0.103,0.103,6.2,0.0167,0.1667,1.00,400,0,7.60
10.97,137,0.0073,0.0672,0.092,0.092,5.5,0.0167,0.1667,1.00,400,0,8.60
11.98,180,0.0056,0.0084,0.084,0.084,5.0,0.0167,0.1667,1.00,400,0,9.61
13.61,17,0.0055,0.0070,0.007,0.007,0.4,0.0167,0.1667,1.00,400,0,9.70
14.66,41,0.0179,0.1667,0.050,0.177,2.9,0.0167,0.1667,1.00,400,0,10.43
15.67,33,0.0302,0.1667,0.064,0.064,3.8,0.0167,0.1667,1.00,400,0,11.42
16.67,60,0.0167,0.0574,0.060,0.060,3.6,0.0167,0.1667,1.00,400,0,12.42
17.68,58,0.0172,0.1667,0.056,0.057,3.4,0.0167,0.1667,1.00,400,0,13.42
18.69,40,0.0252,0.1208,0.054,0.054,3.3,0.0167,0.1667,1.00,400,0,14.43
19.70,51,0.0198,0.0882,0.051,0.051,3.0,0.0167,0.1667,1.00,400,0,15.44
20.70,50,0.0201,0.1186,0.049,0.049,2.9,0.0167,0.1667,1.00,400,0,16.45
21.72,64,0.0159,0.0214,0.047,0.047,2.8,0.0167,0.1667,1.00,400,0,17.46
24.07,31,0.0260,0.0678,0.034,0.034,2.0,0.0167,0.1667,1.00,400,0,18.27
26.70,1,0.0163,0.0163,0.001,0.154,0.0,0.0167,0.1667,1.00,400,0,18.27
27.70,55,0.0156,0.0446,0.031,0.038,1.8,0.0167,0.1667,1.00,400,0,19.13
28.71,49,0.0205,0.1038,0.035,0.035,2.1,0.0167,0.1667,1.00,400,0,20.13
29.73,64,0.0158,0.0222,0.034,0.034,2.1,0.0167,0.1667,1.00,400,0,21.14
30.73,66,0.0153,0.0212,0.033,0.033,2.0,0.0167,0.1667,1.00,400,0,22.15
31.74,65,0.0155,0.0437,0.032,0.032,1.9,0.0167,0.1667,1.00,400,0,23.16
32.74,66,0.0153,0.0209,0.031,0.031,1.9,0.0167,0.1667,1.00,400,0,24.16
33.76,66,0.0153,0.0216,0.030,0.030,1.8,0.0167,0.1667,1.00,400,0,25.17
34.76,64,0.0158,0.0210,0.029,0.029,1.7,0.0167,0.1667,1.00,400,0,26.18
35.78,69,0.0147,0.0186,0.028,0.028,1.7,0.0167,0.1667,1.00,400,0,27.19
36.79,50,0.0203,0.0530,0.028,0.028,1.7,0.0167,0.1667,1.00,400,0,28.21
37.82,33,0.0312,0.0944,0.027,0.027,1.6,0.0167,0.1667,1.00,400,0,29.24
38.83,50,0.0201,0.0323,0.026,0.026,1.5,0.0167,0.1667,1.00,400,0,30.25
39.86,40,0.0257,0.1204,0.026,0.026,1.6,0.0167,0.1667,1.00,400,0,31.27
40.87,45,0.0226,0.0591,0.025,0.025,1.5,0.0167,0.1667,1.00,400,0,32.29
41.87,62,0.0162,0.0204,0.024,0.024,1.4,0.0167,0.1667,1.00,400,0,33.29
42.88,65,0.0154,0.0189,0.023,0.023,1.4,0.0167,0.1667,1.00,400,0,34.29
43.89,64,0.0158,0.0192,0.023,0.023,1.4,0.0167,0.1667,1.00,400,0,35.31
44.91,65,0.0157,0.0180,0.023,0.023,1.4,0.0167,0.1667,1.00,400,0,36.33
