wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time,focused,runInBackground
1.41,2,0.0200,0.0200,0.028,4.362,1.4,0.0167,1.0000,1.00,400,0,0.02,1,1
2.41,132,0.0077,0.4353,1.019,1.019,60.9,0.0167,1.0000,1.00,400,0,1.04,1,1
3.41,259,0.0039,0.0155,1.002,1.002,59.9,0.0167,1.0000,1.00,400,0,2.04,1,1
4.42,255,0.0039,0.0100,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,3.04,1,1
5.42,222,0.0045,0.0306,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,4.05,1,1
6.42,218,0.0046,0.0603,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,5.05,1,1
7.42,256,0.0039,0.0056,1.000,1.000,60.8,0.0167,1.0000,1.00,400,0,6.05,1,1
8.42,254,0.0039,0.0062,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,7.05,1,1
9.43,251,0.0040,0.0066,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,8.05,1,1
10.43,251,0.0040,0.0600,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,9.06,1,1
11.43,222,0.0045,0.0213,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,10.06,1,1
13.12,136,0.0043,0.0093,0.347,0.347,20.7,0.0167,1.0000,1.00,400,0,10.65,1,1
14.12,69,0.0106,0.0205,0.733,2.104,44.0,0.0167,1.0000,1.00,400,0,11.37,1,1
15.13,91,0.0111,0.0214,1.000,1.000,60.6,0.0167,1.0000,1.00,400,0,12.38,1,1
16.13,92,0.0109,0.0160,1.000,1.000,59.6,0.0167,1.0000,1.00,400,0,13.39,1,1
17.14,89,0.0113,0.0196,1.000,1.000,60.6,0.0167,1.0000,1.00,400,0,14.40,1,1
18.15,89,0.0113,0.0193,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,15.40,1,1
19.15,94,0.0107,0.0142,0.997,0.997,59.7,0.0167,1.0000,1.00,400,0,16.40,1,1
20.16,80,0.0126,0.0439,1.001,1.001,60.4,0.0167,1.0000,1.00,400,0,17.41,1,1
21.16,89,0.0113,0.0141,1.002,1.002,59.9,0.0167,1.0000,1.00,400,0,18.42,1,1
22.16,89,0.0112,0.0143,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,19.42,1,1
23.17,89,0.0113,0.0145,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,20.42,1,1
24.18,89,0.0113,0.0141,1.000,1.000,60.6,0.0167,1.0000,1.00,400,0,21.43,1,1
25.19,71,0.0143,0.0518,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,22.44,1,1
26.19,65,0.0155,0.0546,1.000,1.000,59.6,0.0167,1.0000,1.00,400,0,23.45,1,1
27.20,87,0.0116,0.0142,1.000,1.000,59.5,0.0167,1.0000,1.00,400,0,24.46,1,1
28.21,86,0.0117,0.0142,1.000,1.000,60.8,0.0167,1.0000,1.00,400,0,25.46,1,1
29.21,86,0.0117,0.0151,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,26.46,1,1
30.21,86,0.0117,0.0147,1.000,1.000,59.6,0.0167,1.0000,1.00,400,0,27.47,1,1
31.22,85,0.0118,0.0146,0.999,0.999,59.8,0.0167,1.0000,1.00,400,0,28.47,1,1
32.22,84,0.0119,0.0145,1.001,1.001,60.9,0.0167,1.0000,1.00,400,0,29.47,1,1
33.22,85,0.0118,0.0145,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,30.48,1,1
34.23,86,0.0117,0.0161,1.000,1.000,60.4,0.0167,1.0000,1.00,400,0,31.49,1,1
35.25,62,0.0163,0.0541,1.000,1.000,59.3,0.0167,1.0000,1.00,400,0,32.50,1,1
36.26,80,0.0126,0.0158,1.000,1.000,60.4,0.0167,1.0000,1.00,400,0,33.51,1,1
37.27,80,0.0126,0.0156,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,34.52,1,1
38.28,77,0.0131,0.0635,1.000,1.000,59.4,0.0167,1.0000,1.00,400,0,35.53,1,1
39.28,80,0.0126,0.0164,1.000,1.000,60.7,0.0167,1.0000,1.00,400,0,36.54,1,1
40.29,79,0.0127,0.0157,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,37.54,1,1
41.29,79,0.0127,0.0151,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,38.55,1,1
42.30,79,0.0128,0.0166,1.000,1.000,60.4,0.0167,1.0000,1.00,400,0,39.56,1,1
43.31,79,0.0127,0.0156,0.998,0.998,59.6,0.0167,1.0000,1.00,400,0,40.56,1,1
44.32,80,0.0126,0.0158,1.001,1.001,60.4,0.0167,1.0000,1.00,400,0,41.57,1,1
45.33,80,0.0126,0.0160,1.001,1.001,60.3,0.0167,1.0000,1.00,400,0,42.58,1,1
46.33,75,0.0134,0.0529,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,43.59,1,1
47.35,80,0.0127,0.0161,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,44.60,1,1
48.35,73,0.0136,0.0226,0.992,0.992,59.0,0.0167,1.0000,1.00,400,0,45.59,1,1
49.80,13,0.0135,0.0177,0.121,0.121,7.6,0.0167,1.0000,1.00,400,0,45.77,1,1
52.05,1,0.0127,0.0127,0.006,1.552,0.0,0.0167,1.0000,1.00,400,0,45.77,1,1
53.07,62,0.0149,0.0449,0.903,1.031,53.9,0.0167,1.0000,1.00,400,0,46.69,0,1
54.08,73,0.0140,0.0338,1.011,1.011,61.2,0.0167,1.0000,1.00,400,0,47.71,0,1
55.08,70,0.0144,0.0182,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,48.72,0,1
56.09,80,0.0125,0.0172,0.999,0.999,60.0,0.0167,1.0000,1.00,400,0,49.72,0,1
57.09,75,0.0134,0.0518,0.999,0.999,59.7,0.0167,1.0000,1.00,400,0,50.72,0,1
58.10,73,0.0138,0.0184,1.001,1.001,60.4,0.0167,1.0000,1.00,400,0,51.74,0,1
59.11,76,0.0133,0.0248,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,52.75,1,1
60.12,82,0.0122,0.0174,0.999,0.999,59.7,0.0167,1.0000,1.00,400,0,53.75,1,1
61.12,82,0.0123,0.0202,1.002,1.002,59.8,0.0167,1.0000,1.00,400,0,54.76,1,1
62.13,79,0.0128,0.0149,0.997,0.997,60.2,0.0167,1.0000,1.00,400,0,55.77,1,1
63.14,80,0.0126,0.0154,1.002,1.002,59.7,0.0167,1.0000,1.00,400,0,56.77,1,1
64.15,81,0.0125,0.0135,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,57.78,1,1
65.15,81,0.0124,0.0139,1.002,1.002,59.8,0.0167,1.0000,1.00,400,0,58.79,1,1
66.16,81,0.0125,0.0161,0.998,0.998,60.4,0.0167,1.0000,1.00,400,0,59.80,1,1
67.18,84,0.0121,0.0139,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,60.81,1,1
68.18,80,0.0125,0.0142,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,61.81,1,1
69.19,80,0.0126,0.0140,1.001,1.001,59.6,0.0167,1.0000,1.00,400,0,62.82,1,1
70.19,78,0.0129,0.0150,0.999,0.999,60.7,0.0167,1.0000,1.00,400,0,63.83,1,1
71.20,79,0.0127,0.0167,0.999,0.999,59.5,0.0167,1.0000,1.00,400,0,64.83,1,1
72.21,76,0.0133,0.0745,1.001,1.001,60.6,0.0167,1.0000,1.00,400,0,65.84,1,1
73.21,84,0.0120,0.0134,1.000,1.000,59.5,0.0167,1.0000,1.00,400,0,66.85,1,1
74.22,85,0.0118,0.0141,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,67.85,1,1
75.22,88,0.0114,0.0160,0.999,0.999,60.6,0.0167,1.0000,1.00,400,0,68.86,1,1
